Company,CurrentStockCount,CurrentStockAskingValue,MedianCurrentAskingPrice,MedianPublicListingAgeDays,P75PublicListingAgeDays,FreshStockCount,NormalStockCount,AboveTypicalAgeCount,AgedStockCount,VeryAgedStockCount,LowPricePositionCount,MidMarketPriceCount,HighPricePositionCount,InsufficientPriceComparisonCount,WatchStockCount,AttentionStockCount,HighAttentionStockCount,DistinctBrands,DistinctModels,HistoricalDistinctListings,HistoricalObservedMarketExits,HistoricalMedianObservedDaysToExit,HistoricalPriceReductionEligibleListings,HistoricalPriceReductionListings,HistoricalPriceReductionRate,PublicListingAgeDefinition,HistoricalExitDefinition
BARAN MOTORS,15,273800.0,14900.0,75.0,127.0,2,2,4,1,6,2,7,1,2,5,7,0,8,15,69,54,27.5,57,13,0.22807017543859648,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Erim Toycan,15,446000.0,25900.0,199.0,260.0,1,0,0,2,12,5,1,4,2,0,10,4,6,15,26,11,56.0,16,13,0.8125,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Fiba Motors,15,330343.0,22999.0,86.0,172.5,1,3,1,2,7,4,3,2,1,2,9,1,8,15,57,42,51.0,42,14,0.3333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Kerimbey Oto Galeri,15,294500.0,14500.0,74.0,184.5,1,2,3,1,8,2,5,3,1,3,7,3,11,14,51,36,68.0,33,11,0.3333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
POSH CARS,15,279548.0,18500.0,96.0,210.5,5,0,1,1,8,6,2,1,2,2,8,1,8,14,30,15,45.0,14,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
ULUHAN AUTOS LIMITED,15,686600.0,44900.0,65.0,65.5,3,3,5,1,2,1,1,5,2,5,3,2,6,11,21,5,40.0,21,1,0.047619047619047616,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Gani Cars,14,145280.0,9250.0,67.0,92.75,1,0,3,2,7,1,2,2,1,4,6,3,9,10,79,65,63.0,45,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
LANDMAX OTO GALERİ,14,259000.0,16250.0,260.0,260.0,0,0,0,0,12,0,1,6,4,0,7,5,9,14,23,8,36.0,4,2,0.5,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
LEO-CAR,14,187150.0,14400.0,72.5,213.75,1,2,2,3,4,0,4,3,2,3,4,3,6,10,50,31,47.0,34,8,0.23529411764705882,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
MİRA MOTORS,14,557500.0,36500.0,42.5,55.25,1,4,7,0,2,0,4,5,1,7,3,0,6,12,47,32,20.0,46,7,0.15217391304347827,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
