Company,CurrentStockCount,CurrentStockAskingValue,MedianCurrentAskingPrice,MedianPublicListingAgeDays,P75PublicListingAgeDays,FreshStockCount,NormalStockCount,AboveTypicalAgeCount,AgedStockCount,VeryAgedStockCount,LowPricePositionCount,MidMarketPriceCount,HighPricePositionCount,InsufficientPriceComparisonCount,WatchStockCount,AttentionStockCount,HighAttentionStockCount,DistinctBrands,DistinctModels,HistoricalDistinctListings,HistoricalObservedMarketExits,HistoricalMedianObservedDaysToExit,HistoricalPriceReductionEligibleListings,HistoricalPriceReductionListings,HistoricalPriceReductionRate,PublicListingAgeDefinition,HistoricalExitDefinition
Auto123,2,20500.0,10250.0,122.5,125.25,0,0,0,0,2,2,0,0,0,0,2,0,2,2,7,5,49.0,7,4,0.5714285714285714,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Capital Auto,2,93000.0,46500.0,111.5,146.75,0,0,1,0,0,0,0,1,1,0,1,0,2,2,15,13,58.0,11,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Eminsel Automotive,2,167500.0,83750.0,55.5,55.75,0,0,2,0,0,0,0,1,0,2,0,0,2,2,5,3,143.0,3,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Endless Car,2,26850.0,13425.0,71.0,90.5,0,1,0,0,1,1,0,0,0,0,1,0,2,2,19,17,60.0,11,7,0.6363636363636364,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
GLOBEAUTO ( BTU TRADING LTD.),2,23500.0,11750.0,99.5,110.25,0,0,1,0,0,1,0,1,0,1,0,0,2,2,9,7,44.0,9,6,0.6666666666666666,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Güder Motors,2,5740.0,2870.0,244.5,252.25,0,0,0,0,2,0,1,0,1,0,2,0,2,2,36,34,21.0,20,1,0.05,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Kanal Autos,2,24500.0,12250.0,23.0,23.0,0,0,2,0,0,1,1,0,0,2,0,0,2,2,25,23,10.0,22,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Kuşçu Kardeşler Oto Galeri,2,18000.0,9000.0,260.0,260.0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,2,0,,0,0,,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
MEHMET ALİ KIRMIZI VE OGULLARI OTOMOTİV LTD,2,39500.0,19750.0,136.5,198.25,1,0,0,0,0,0,0,1,0,1,0,0,2,2,11,9,155.0,7,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Megamet,2,24500.0,12250.0,85.0,105.5,0,0,1,0,0,1,0,0,1,1,0,0,2,2,9,7,17.0,9,1,0.1111111111111111,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
PERİDOT CAR,2,197500.0,98750.0,170.5,202.75,0,0,0,0,2,0,0,1,0,0,1,1,2,2,5,3,25.0,2,1,0.5,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
SAFE CAR AUTO İSKELE,2,50500.0,25250.0,155.0,207.5,0,0,0,0,1,0,0,0,1,1,1,0,2,2,29,27,18.0,11,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
TEKSİS OTO,2,41750.0,20875.0,108.0,126.5,0,0,0,0,2,0,2,0,0,0,2,0,2,2,3,1,62.0,3,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
farhad adelnia,2,17500.0,8750.0,260.0,260.0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,2,0,,0,0,,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
İYİDOĞAN OTO LTD,2,34500.0,17250.0,29.5,36.75,1,0,1,0,0,1,0,1,0,1,1,0,2,2,19,17,62.0,16,8,0.5,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
.,1,17500.0,17500.0,260.0,260.0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,,0,0,,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
29 Motors,1,49000.0,49000.0,134.0,134.0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,,1,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
ALFA AUTO,1,15500.0,15500.0,41.0,41.0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2,1,29.0,2,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Air Auto,1,28250.0,28250.0,218.0,218.0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,13,12,95.5,9,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Alan Şenol,1,34500.0,34500.0,260.0,260.0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,,0,0,,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Arsi Motors 2,1,16000.0,16000.0,156.0,156.0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,,1,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Aykut Motors,1,18000.0,18000.0,260.0,260.0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,65.0,1,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Bafra Auto Gallery,1,14250.0,14250.0,119.0,119.0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,18,17,36.0,8,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CANSIZ GALERi,1,5500.0,5500.0,167.0,167.0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,4,3,75.0,2,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CARHOUSE,1,39000.0,39000.0,6.0,6.0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,1,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Emre Ay,1,70000.0,70000.0,260.0,260.0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,,0,0,,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Girne Oto Galeri,1,26500.0,26500.0,140.0,140.0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,16,15,26.0,14,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
GÖKHAN TÜRK MOTORS,1,29900.0,29900.0,11.0,11.0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,21,20,13.0,17,1,0.058823529411764705,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Hankor Motors,1,10800.0,10800.0,93.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,72.0,3,1,0.3333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Karaoğlan Oto,1,22500.0,22500.0,78.0,78.0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,10,8,38.0,2,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Kartis Auto Gallery,1,5900.0,5900.0,20.0,20.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,61,60,17.5,36,12,0.3333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Lavisram motors,1,8250.0,8250.0,36.0,36.0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,4,3,51.0,4,3,0.75,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Novus Ventus Motors,1,12000.0,12000.0,260.0,260.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,2,54.0,0,0,,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Pilot Oto,1,19250.0,19250.0,2.0,2.0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,52,51,78.0,34,11,0.3235294117647059,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Sems Cars,1,4000.0,4000.0,88.0,88.0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,61,60,61.0,61,6,0.09836065573770492,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
TARSAL MOTORS,1,14000.0,14000.0,260.0,260.0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,11,10,44.5,0,0,,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Tamer Tüm Özdaş Oto Galeri,1,14000.0,14000.0,112.0,112.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,,1,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Şeref Karaoğlan Motors,1,24500.0,24500.0,260.0,260.0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,5,4,146.5,0,0,,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
